24/03/2022 13:44:46
Spectrometer: USB2G54090
Integration time (ms): 145.0
Scans averaged: 15

Wavelength,Intensity
350.000,0.113
351.000,0.556
352.000,0.598
353.000,1.760
354.000,1.169
355.000,0.681
356.000,0.047
357.000,-0.537
358.000,-3.089
359.000,-2.235
360.000,-4.474
361.000,-6.499
362.000,-10.344
363.000,-11.878
364.000,-16.724
365.000,-22.237
366.000,-31.960
367.000,-40.327
368.000,-54.893
369.000,-62.379
370.000,-70.921
371.000,-79.534
372.000,-92.527
373.000,-97.339
374.000,-99.205
375.000,-104.206
376.000,-87.678
377.000,-82.968
378.000,-78.538
379.000,-66.288
380.000,-54.398
381.000,-47.114
382.000,-39.228
383.000,-33.229
384.000,-26.151
385.000,-21.495
386.000,-19.482
387.000,-9.995
388.000,-10.204
389.000,-7.503
390.000,-5.210
391.000,-3.076
392.000,-2.422
393.000,-2.232
394.000,-1.497
395.000,-0.656
396.000,1.226
397.000,0.632
398.000,1.859
399.000,2.939
400.000,3.421
401.000,4.006
402.000,5.115
403.000,6.419
404.000,6.268
405.000,7.235
406.000,8.091
407.000,8.527
408.000,8.533
409.000,9.682
410.000,11.137
411.000,11.888
412.000,11.879
413.000,14.154
414.000,14.602
415.000,16.019
416.000,18.739
417.000,20.520
418.000,22.064
419.000,22.974
420.000,27.137
421.000,26.489
422.000,30.890
423.000,34.468
424.000,37.654
425.000,40.239
426.000,46.101
427.000,48.354
428.000,54.033
429.000,59.778
430.000,67.147
431.000,74.257
432.000,80.136
433.000,84.161
434.000,97.274
435.000,107.642
436.000,116.677
437.000,132.023
438.000,144.180
439.000,159.510
440.000,175.441
441.000,186.601
442.000,210.185
443.000,234.513
444.000,246.656
445.000,269.193
446.000,292.451
447.000,307.890
448.000,332.100
449.000,342.575
450.000,387.357
451.000,409.954
452.000,428.386
453.000,453.661
454.000,479.282
455.000,507.010
456.000,541.568
457.000,580.276
458.000,608.308
459.000,649.415
460.000,692.388
461.000,725.837
462.000,775.537
463.000,810.870
464.000,858.289
465.000,901.208
466.000,963.168
467.000,1011.381
468.000,1090.381
469.000,1148.696
470.000,1185.162
471.000,1313.670
472.000,1378.371
473.000,1430.162
474.000,1514.639
475.000,1608.844
476.000,1677.861
477.000,1836.258
478.000,1910.516
479.000,1954.623
480.000,2142.165
481.000,2226.196
482.000,2316.144
483.000,2445.585
484.000,2556.969
485.000,2667.653
486.000,2795.574
487.000,2877.698
488.000,2917.622
489.000,3153.955
490.000,3208.868
491.000,3283.055
492.000,3355.465
493.000,3427.174
494.000,3558.471
495.000,3551.497
496.000,3643.264
497.000,3656.003
498.000,3671.908
499.000,3708.443
500.000,3664.183
501.000,3715.423
502.000,3771.457
503.000,3681.297
504.000,3694.885
505.000,3690.586
506.000,3707.260
507.000,3673.668
508.000,3586.375
509.000,3548.501
510.000,3460.804
511.000,3506.550
512.000,3417.891
513.000,3427.133
514.000,3326.826
515.000,3252.708
516.000,3201.629
517.000,3086.316
518.000,3085.588
519.000,3013.180
520.000,2962.298
521.000,2921.586
522.000,2860.491
523.000,2775.384
524.000,2685.297
525.000,2652.259
526.000,2547.103
527.000,2472.668
528.000,2421.399
529.000,2338.628
530.000,2323.843
531.000,2253.994
532.000,2183.999
533.000,2137.696
534.000,2082.934
535.000,2002.393
536.000,1929.804
537.000,1850.980
538.000,1834.633
539.000,1777.843
540.000,1741.600
541.000,1684.183
542.000,1614.816
543.000,1593.249
544.000,1539.354
545.000,1491.227
546.000,1425.413
547.000,1394.656
548.000,1345.066
549.000,1296.407
550.000,1257.498
551.000,1210.105
552.000,1154.716
553.000,1119.235
554.000,1066.616
555.000,1019.824
556.000,993.192
557.000,933.864
558.000,906.417
559.000,875.700
560.000,834.327
561.000,809.778
562.000,765.979
563.000,742.375
564.000,708.148
565.000,675.689
566.000,651.706
567.000,618.578
568.000,593.680
569.000,585.308
570.000,557.107
571.000,539.238
572.000,510.294
573.000,495.081
574.000,475.356
575.000,453.040
576.000,441.908
577.000,420.716
578.000,410.602
579.000,390.269
580.000,373.774
581.000,359.855
582.000,342.838
583.000,328.529
584.000,320.833
585.000,308.309
586.000,294.347
587.000,280.339
588.000,271.650
589.000,260.274
590.000,253.721
591.000,241.459
592.000,234.685
593.000,224.157
594.000,217.687
595.000,205.476
596.000,197.744
597.000,190.249
598.000,183.862
599.000,176.516
600.000,169.974
601.000,164.835
602.000,155.426
603.000,149.442
604.000,142.754
605.000,135.818
606.000,132.027
607.000,127.392
608.000,120.320
609.000,117.892
610.000,111.516
611.000,105.514
612.000,104.423
613.000,107.627
614.000,92.473
615.000,94.137
616.000,87.916
617.000,83.861
618.000,79.677
619.000,76.065
620.000,74.356
621.000,72.957
622.000,71.477
623.000,64.757
624.000,63.489
625.000,60.410
626.000,59.287
627.000,57.575
628.000,54.604
629.000,53.546
630.000,51.377
631.000,48.928
632.000,47.405
633.000,45.572
634.000,52.432
635.000,37.937
636.000,39.736
637.000,39.835
638.000,38.439
639.000,36.248
640.000,33.851
641.000,32.385
642.000,33.833
643.000,32.419
644.000,29.728
645.000,29.190
646.000,28.420
647.000,26.985
648.000,26.721
649.000,25.486
650.000,24.879
651.000,22.523
652.000,22.461
653.000,22.671
654.000,20.764
655.000,20.394
656.000,18.963
657.000,17.505
658.000,18.360
659.000,16.632
660.000,16.898
661.000,14.744
662.000,15.077
663.000,13.592
664.000,13.214
665.000,12.177
666.000,12.307
667.000,12.021
668.000,13.396
669.000,12.077
670.000,11.476
671.000,11.279
672.000,10.839
673.000,9.256
674.000,8.993
675.000,9.999
676.000,7.972
677.000,7.577
678.000,8.782
679.000,8.231
680.000,9.465
681.000,7.871
682.000,7.168
683.000,7.639
684.000,6.320
685.000,6.724
686.000,7.077
687.000,6.482
688.000,6.158
689.000,5.701
690.000,6.577
691.000,4.826
692.000,5.982
693.000,4.683
694.000,6.335
695.000,5.724
696.000,6.076
697.000,4.577
698.000,4.909
699.000,4.371
700.000,2.548
701.000,3.519
702.000,3.543
703.000,4.461
704.000,1.862
705.000,4.067
706.000,3.532
707.000,3.236
708.000,3.906
709.000,4.015
710.000,4.049
711.000,2.937
712.000,1.792
713.000,2.819
714.000,2.136
715.000,2.326
716.000,2.584
717.000,1.828
718.000,2.439
719.000,2.802
720.000,2.390
721.000,2.582
722.000,1.965
723.000,0.483
724.000,1.385
725.000,1.768
726.000,2.234
727.000,2.317
728.000,1.524
729.000,0.582
730.000,1.062
731.000,1.563
732.000,1.881
733.000,0.901
734.000,1.235
735.000,1.813
736.000,1.468
737.000,1.388
738.000,2.254
739.000,1.639
740.000,0.611
741.000,1.161
742.000,1.665
743.000,-0.031
744.000,0.487
745.000,-0.629
746.000,0.716
747.000,2.614
748.000,1.157
749.000,2.032
750.000,-0.345
751.000,0.762
752.000,0.384
753.000,1.769
754.000,0.757
755.000,1.202
756.000,-0.142
757.000,0.415
758.000,0.153
759.000,1.287
760.000,0.368
761.000,0.142
762.000,1.034
763.000,0.431
764.000,1.318
765.000,1.102
766.000,0.642
767.000,0.758
768.000,0.362
769.000,-0.154
770.000,0.896
771.000,0.400
772.000,1.192
773.000,-0.190
774.000,-0.639
775.000,0.459
776.000,0.217
777.000,0.121
778.000,0.092
779.000,0.096
780.000,1.165
781.000,1.130
782.000,1.235
783.000,0.428
784.000,1.244
785.000,0.086
786.000,0.238
787.000,0.342
788.000,0.139
789.000,0.773
790.000,-0.405
791.000,1.285
792.000,0.768
793.000,-0.490
794.000,0.416
795.000,-1.177
796.000,0.021
797.000,1.135
798.000,0.084
799.000,1.237
800.000,0.925
801.000,0.329
802.000,-0.715
803.000,-0.674
804.000,-1.355
805.000,-0.690
806.000,-0.188
807.000,-0.843
808.000,-0.540
809.000,-0.698
810.000,-0.236
811.000,1.752
812.000,0.205
813.000,-0.119
814.000,0.729
815.000,0.653
816.000,-0.463
817.000,0.092
818.000,-0.861
819.000,-0.355
820.000,-0.402
821.000,-0.317
822.000,0.633
823.000,-0.333
824.000,0.093
825.000,-0.117
826.000,1.138
827.000,0.639
828.000,0.739
829.000,0.181
830.000,-0.182
831.000,1.329
832.000,-0.007
833.000,-0.316
834.000,1.147
835.000,-0.014
836.000,-0.251
837.000,0.012
838.000,-0.429
839.000,1.016
840.000,0.750
841.000,0.005
842.000,0.352
843.000,0.644
844.000,0.236
845.000,0.354
846.000,-0.474
847.000,-0.106
848.000,-1.060
849.000,0.868
850.000,-0.586
851.000,-0.364
852.000,0.662
853.000,-0.043
854.000,-1.034
855.000,-0.752
856.000,0.236
857.000,-1.339
858.000,-0.332
859.000,0.211
860.000,-1.339
861.000,-1.422
862.000,-0.452
863.000,-1.451
864.000,-0.652
865.000,0.518
866.000,-0.666
867.000,-0.352
868.000,-0.483
869.000,-1.125
870.000,-0.378
871.000,0.094
872.000,0.560
873.000,-0.001
874.000,-0.602
875.000,0.342
876.000,0.006
877.000,-0.030
878.000,-0.150
879.000,0.271
880.000,-0.483
881.000,0.073
882.000,1.549
883.000,-0.616
884.000,-0.310
885.000,-0.029
886.000,1.263
887.000,0.400
888.000,0.277
889.000,-0.632
890.000,-0.411
891.000,-0.055
892.000,1.257
893.000,-1.718
894.000,-0.316
895.000,-1.064
896.000,-1.146
897.000,-1.109
898.000,-0.118
899.000,-1.032
900.000,0.275
901.000,0.438
902.000,0.145
903.000,0.456
904.000,-0.209
905.000,-0.928
906.000,-0.278
907.000,-0.010
908.000,-1.344
909.000,0.293
910.000,1.028
911.000,-0.307
912.000,-0.638
913.000,-0.409
914.000,-0.896
915.000,-1.336
916.000,0.140
917.000,0.969
918.000,-0.999
919.000,0.389
920.000,0.173
921.000,-0.859
922.000,-0.892
923.000,0.442
924.000,0.249
925.000,-1.142
926.000,0.214
927.000,-1.178
928.000,-0.562
929.000,-1.450
930.000,-0.721
931.000,1.060
932.000,-1.478
933.000,-2.062
934.000,-1.523
935.000,-1.201
936.000,-1.609
937.000,-0.094
938.000,-0.336
939.000,-0.974
940.000,0.041
941.000,-2.125
942.000,-1.335
943.000,-0.460
944.000,-0.534
945.000,-1.578
946.000,-0.157
947.000,0.529
948.000,-1.266
949.000,-1.137
950.000,-0.697
951.000,-0.078
952.000,-1.144
953.000,-0.229
954.000,-0.754
955.000,-0.832
956.000,-0.499
957.000,0.276
958.000,-0.101
959.000,-1.935
960.000,-0.457
961.000,-0.497
962.000,-1.266
963.000,-0.244
964.000,-0.807
965.000,-1.523
966.000,-1.643
967.000,-0.133
968.000,-1.088
969.000,0.532
970.000,0.420
971.000,0.026
972.000,-0.023
973.000,0.107
974.000,-1.866
975.000,-0.134
976.000,0.489
977.000,-0.671
978.000,-0.942
979.000,1.004
980.000,0.467
981.000,1.323
982.000,-0.630
983.000,0.302
984.000,-0.507
985.000,-0.127
986.000,0.161
987.000,-2.198
988.000,-0.522
989.000,-2.004
990.000,-1.836
991.000,-0.554
992.000,-0.264
993.000,-1.697
994.000,-0.870
995.000,-0.609
996.000,-0.601
997.000,-1.068
998.000,-0.022
999.000,-0.330
1000.000,-1.271
