24/03/2022 10:20:34
Spectrometer: USB2G54090
Integration time (ms): 650.0
Scans averaged: 10

Wavelength,Intensity
350.000,3.940
351.000,4.239
352.000,2.175
353.000,3.600
354.000,2.123
355.000,5.462
356.000,1.841
357.000,1.340
358.000,3.049
359.000,1.075
360.000,-0.779
361.000,-5.522
362.000,-9.520
363.000,-14.575
364.000,-20.740
365.000,-31.457
366.000,-39.404
367.000,-62.570
368.000,-73.264
369.000,-95.874
370.000,-103.974
371.000,-112.849
372.000,-118.421
373.000,-120.557
374.000,-137.258
375.000,-126.603
376.000,-97.960
377.000,-81.908
378.000,-62.628
379.000,-40.657
380.000,-14.687
381.000,10.815
382.000,32.561
383.000,62.604
384.000,91.559
385.000,123.440
386.000,161.797
387.000,211.314
388.000,266.816
389.000,324.414
390.000,389.814
391.000,470.612
392.000,554.970
393.000,676.708
394.000,756.468
395.000,845.729
396.000,1015.779
397.000,1156.069
398.000,1240.214
399.000,1340.792
400.000,1477.768
401.000,1604.345
402.000,1733.368
403.000,1875.996
404.000,1969.971
405.000,2102.120
406.000,2196.890
407.000,2240.919
408.000,2352.094
409.000,2451.267
410.000,2578.556
411.000,2721.621
412.000,2747.052
413.000,2840.818
414.000,2847.021
415.000,2937.970
416.000,2993.430
417.000,2986.032
418.000,3043.832
419.000,3095.625
420.000,3163.117
421.000,3096.870
422.000,3117.825
423.000,3132.217
424.000,3118.858
425.000,2976.205
426.000,3053.501
427.000,3018.817
428.000,2938.256
429.000,2950.337
430.000,2938.639
431.000,2966.222
432.000,2916.500
433.000,2867.202
434.000,2869.684
435.000,2840.169
436.000,2799.662
437.000,2797.718
438.000,2743.708
439.000,2748.841
440.000,2691.195
441.000,2601.435
442.000,2576.766
443.000,2592.851
444.000,2487.725
445.000,2424.575
446.000,2386.572
447.000,2251.267
448.000,2196.645
449.000,2038.308
450.000,2071.375
451.000,1990.838
452.000,1866.899
453.000,1792.412
454.000,1716.289
455.000,1643.428
456.000,1591.948
457.000,1553.207
458.000,1472.944
459.000,1443.033
460.000,1410.475
461.000,1340.602
462.000,1317.888
463.000,1257.195
464.000,1227.779
465.000,1187.734
466.000,1167.211
467.000,1124.725
468.000,1120.049
469.000,1101.457
470.000,1053.598
471.000,1070.486
472.000,1036.146
473.000,986.913
474.000,985.988
475.000,980.238
476.000,945.195
477.000,996.901
478.000,941.651
479.000,898.766
480.000,929.238
481.000,899.264
482.000,876.739
483.000,876.152
484.000,876.739
485.000,852.567
486.000,840.792
487.000,816.018
488.000,783.669
489.000,808.367
490.000,775.548
491.000,751.546
492.000,737.975
493.000,711.157
494.000,705.127
495.000,658.869
496.000,655.999
497.000,629.490
498.000,597.200
499.000,577.642
500.000,550.456
501.000,529.934
502.000,518.798
503.000,493.296
504.000,473.415
505.000,458.648
506.000,435.980
507.000,416.060
