24/03/2022 10:34:23
Spectrometer: USB2G54090
Integration time (ms): 140.0
Scans averaged: 15

Wavelength,Intensity
350.000,0.706
351.000,-1.403
352.000,-0.409
353.000,-0.158
354.000,0.201
355.000,-8.112
356.000,-1.206
357.000,-1.737
358.000,-11.148
359.000,-8.308
360.000,-10.471
361.000,-10.432
362.000,-15.917
363.000,-26.801
364.000,-36.461
365.000,-44.297
366.000,-71.400
367.000,-81.029
368.000,-105.014
369.000,-121.313
370.000,-146.315
371.000,-158.355
372.000,-177.481
373.000,-165.557
374.000,-182.894
375.000,-194.596
376.000,-166.776
377.000,-151.011
378.000,-143.615
379.000,-119.677
380.000,-101.173
381.000,-94.959
382.000,-74.012
383.000,-68.925
384.000,-48.756
385.000,-47.716
386.000,-27.838
387.000,-19.964
388.000,-27.503
389.000,-31.589
390.000,-19.562
391.000,-14.875
392.000,-13.116
393.000,-10.814
394.000,-9.278
395.000,-12.212
396.000,-6.068
397.000,-3.846
398.000,-1.654
399.000,-0.067
400.000,-0.094
401.000,0.529
402.000,3.208
403.000,0.140
404.000,1.115
405.000,4.005
406.000,6.293
407.000,6.792
408.000,6.109
409.000,8.523
410.000,10.067
411.000,9.792
412.000,13.131
413.000,13.342
414.000,15.948
415.000,17.208
416.000,18.860
417.000,21.889
418.000,22.050
419.000,27.685
420.000,30.048
421.000,28.586
422.000,33.563
423.000,40.745
424.000,46.740
425.000,48.554
426.000,55.077
427.000,62.648
428.000,69.202
429.000,73.819
430.000,82.133
431.000,89.803
432.000,101.940
433.000,99.935
434.000,123.167
435.000,132.624
436.000,145.101
437.000,160.431
438.000,179.364
439.000,200.294
440.000,214.648
441.000,229.337
442.000,257.927
443.000,284.768
444.000,301.599
445.000,331.203
446.000,361.250
447.000,376.251
448.000,410.475
449.000,425.677
450.000,475.285
451.000,503.464
452.000,518.979
453.000,550.869
454.000,576.694
455.000,609.112
456.000,648.373
457.000,695.937
458.000,721.732
459.000,775.465
460.000,821.606
461.000,858.881
462.000,922.162
463.000,963.487
464.000,1011.342
465.000,1057.781
466.000,1142.099
467.000,1182.781
468.000,1282.599
469.000,1330.180
470.000,1378.001
471.000,1508.810
472.000,1584.265
473.000,1640.835
474.000,1732.592
475.000,1826.029
476.000,1898.093
477.000,2053.003
478.000,2136.709
479.000,2172.245
480.000,2363.328
481.000,2451.694
482.000,2530.040
483.000,2665.712
484.000,2761.931
485.000,2865.905
486.000,3001.688
487.000,3054.981
488.000,3098.674
489.000,3317.458
490.000,3343.541
491.000,3417.668
492.000,3479.644
493.000,3508.975
494.000,3646.767
495.000,3602.234
496.000,3697.100
497.000,3688.996
498.000,3665.808
499.000,3685.582
500.000,3620.276
501.000,3663.633
502.000,3693.431
503.000,3587.493
504.000,3585.490
505.000,3558.543
506.000,3551.813
507.000,3507.988
508.000,3388.021
509.000,3345.294
510.000,3262.386
511.000,3274.092
512.000,3178.330
513.000,3173.651
514.000,3054.114
515.000,2990.633
516.000,2930.409
517.000,2808.722
518.000,2784.658
519.000,2720.667
520.000,2666.338
521.000,2613.724
522.000,2561.956
523.000,2479.583
524.000,2378.958
525.000,2343.342
526.000,2249.439
527.000,2182.669
528.000,2125.021
529.000,2038.075
530.000,2025.883
531.000,1956.205
532.000,1887.324
533.000,1832.172
534.000,1793.522
535.000,1718.329
536.000,1648.589
537.000,1581.496
538.000,1560.933
539.000,1515.147
540.000,1475.973
541.000,1425.850
542.000,1360.257
543.000,1332.450
544.000,1292.699
545.000,1253.865
546.000,1191.114
547.000,1160.702
548.000,1115.087
549.000,1077.720
550.000,1039.275
551.000,1003.991
552.000,956.081
553.000,918.340
554.000,877.613
555.000,837.101
556.000,810.607
557.000,755.603
558.000,739.674
559.000,715.348
560.000,683.810
561.000,654.913
562.000,623.357
563.000,596.012
564.000,577.085
565.000,544.958
566.000,531.729
567.000,492.540
568.000,475.685
569.000,471.495
570.000,450.170
571.000,429.272
572.000,410.587
573.000,393.738
574.000,382.783
575.000,366.739
576.000,349.967
577.000,332.575
578.000,326.144
579.000,311.026
580.000,296.193
581.000,285.784
582.000,268.731
583.000,263.611
584.000,256.428
585.000,239.480
586.000,234.992
587.000,224.873
588.000,213.900
589.000,207.487
590.000,202.423
591.000,192.752
592.000,186.063
593.000,178.634
594.000,173.500
595.000,163.954
596.000,152.895
597.000,150.927
598.000,145.908
599.000,139.093
600.000,135.088
601.000,125.615
602.000,123.098
603.000,120.921
604.000,112.582
605.000,109.929
606.000,105.505
607.000,99.340
608.000,95.738
609.000,89.873
610.000,87.321
611.000,82.908
612.000,81.523
613.000,71.345
614.000,70.572
615.000,70.780
616.000,65.673
617.000,60.525
618.000,52.374
619.000,54.245
620.000,56.162
621.000,52.895
622.000,48.297
623.000,45.772
624.000,50.028
625.000,48.630
626.000,46.536
627.000,43.518
628.000,42.817
629.000,39.538
630.000,40.701
631.000,38.204
632.000,36.807
633.000,34.084
634.000,-185.744
635.000,25.995
636.000,28.317
637.000,30.086
638.000,29.984
639.000,26.685
640.000,26.359
641.000,25.104
642.000,23.583
643.000,22.880
644.000,22.012
645.000,20.123
646.000,22.302
647.000,19.785
648.000,19.749
649.000,19.807
650.000,21.179
651.000,18.092
