24/03/2022 10:21:08
Spectrometer: USB2G54090
Integration time (ms): 650.0
Scans averaged: 10

Wavelength,Intensity
350.000,2.671
351.000,4.212
352.000,2.641
353.000,3.653
354.000,2.662
355.000,5.469
356.000,2.762
357.000,0.250
358.000,4.260
359.000,-0.814
360.000,-2.428
361.000,-5.403
362.000,-9.997
363.000,-16.221
364.000,-23.571
365.000,-32.013
366.000,-41.341
367.000,-64.200
368.000,-77.948
369.000,-96.086
370.000,-110.504
371.000,-122.906
372.000,-125.575
373.000,-124.273
374.000,-143.672
375.000,-130.361
376.000,-103.241
377.000,-82.901
378.000,-63.763
379.000,-47.179
380.000,-24.060
381.000,6.970
382.000,29.982
383.000,60.917
384.000,92.045
385.000,127.865
386.000,151.250
387.000,192.557
388.000,267.909
389.000,328.011
390.000,389.596
391.000,475.823
392.000,560.477
393.000,694.511
394.000,763.683
395.000,855.908
396.000,1025.876
397.000,1173.495
398.000,1257.678
399.000,1376.382
400.000,1510.167
401.000,1627.104
402.000,1749.479
403.000,1905.304
404.000,2011.387
405.000,2129.023
406.000,2217.140
407.000,2272.259
408.000,2402.729
409.000,2493.023
410.000,2631.291
411.000,2757.218
412.000,2791.791
413.000,2878.216
414.000,2887.608
415.000,2994.308
416.000,3041.887
417.000,3039.524
418.000,3094.141
419.000,3149.796
420.000,3217.236
421.000,3155.530
422.000,3163.221
423.000,3170.448
424.000,3169.346
425.000,3025.362
426.000,3100.598
427.000,3049.035
428.000,2993.562
429.000,2984.445
430.000,2997.068
431.000,3025.887
432.000,2951.209
433.000,2905.348
434.000,2917.181
435.000,2869.106
436.000,2830.780
437.000,2838.551
438.000,2782.016
439.000,2789.085
440.000,2727.072
441.000,2637.415
442.000,2627.483
443.000,2625.864
444.000,2525.149
445.000,2463.700
446.000,2418.821
447.000,2279.649
448.000,2229.307
449.000,2072.146
450.000,2101.553
451.000,2017.174
452.000,1891.563
453.000,1810.827
454.000,1744.752
455.000,1666.442
456.000,1609.875
457.000,1570.345
458.000,1490.918
459.000,1466.182
460.000,1420.137
461.000,1359.174
462.000,1330.085
463.000,1276.187
464.000,1240.318
465.000,1197.140
466.000,1185.765
467.000,1137.269
468.000,1138.887
469.000,1106.797
470.000,1056.321
471.000,1090.645
472.000,1055.356
473.000,1003.810
474.000,998.926
475.000,984.237
476.000,961.614
477.000,1007.313
478.000,958.268
479.000,906.825
480.000,930.999
481.000,912.524
482.000,893.019
483.000,891.945
484.000,887.554
485.000,857.837
486.000,849.893
487.000,827.220
488.000,796.848
489.000,817.086
490.000,783.027
491.000,768.333
492.000,743.303
493.000,723.141
494.000,714.803
495.000,667.795
496.000,662.181
497.000,634.391
498.000,607.604
499.000,594.476
500.000,557.579
501.000,538.315
502.000,525.524
503.000,500.446
504.000,475.175
505.000,456.127
506.000,442.638
507.000,418.077
508.000,398.624
509.000,383.677
510.000,351.849
511.000,348.221
512.000,324.625
513.000,320.425
514.000,288.987
515.000,305.087
516.000,266.616
517.000,271.857
518.000,266.233
519.000,231.420
520.000,217.562
521.000,209.526
522.000,199.422
523.000,188.994
524.000,174.977
525.000,171.278
526.000,161.362
527.000,144.537
528.000,145.142
529.000,138.453
530.000,134.844
531.000,122.350
532.000,118.708
533.000,114.214
534.000,113.161
535.000,100.213
536.000,88.445
537.000,92.124
538.000,90.533
539.000,82.810
540.000,86.957
541.000,76.649
542.000,73.774
543.000,64.698
544.000,67.112
545.000,62.265
546.000,61.496
547.000,57.592
548.000,53.422
549.000,55.015
550.000,52.350
551.000,48.262
552.000,46.907
553.000,41.681
554.000,38.631
555.000,40.137
556.000,33.718
557.000,38.230
558.000,31.163
559.000,29.103
560.000,27.757
